name,opened,sector,revenue,expenses,employees,locations,customers,ads,score1,score2,growth,potential,adsPerYear
Pwf,1988,9,6248247,6865401,616,25,22,2489,60,5,606,,83
KXw,1986,3,60558265,131606704,3565,4,11,2420,60,12,-743,,76
Gpejf Corp,1994,6,160751,154621,6,3,1,2148,60,12,-2886,160751,90
Tkc,1999,13,98171,59051,2,2,3,2733,40,52,2302,98171,144
Zxp,1990,3,338080,303256,19,5,1,3330,60,27,160,338080,119
WkKugj,1983,10,2180398,2520096,78,9,8,2766,60,163,1905,,80
Esjwl,1982,3,5787195,3126757,258,1,53,2992,60,335,118,5787195,84
M1G Corp,1999,12,1590320,991078,78,9,1,2659,60,4,1428,1590320,140
Ed4,1990,4,549759,343829,8,3,4,3193,54,350,-1198,549759,115
Xidf Inc,1989,6,79780,59677,2,2,6,2216,50,40,211,79780,77
Zjov,1990,9,5661150,3030943,294,7,3,2756,60,189,2438,5661150,99
DzoGkzhd,1985,10,1965223,1588300,33,6,1,2656,55,16,-848,1965223,81
JIuo,1993,11,763854,1039334,29,6,1,3349,55,16,-1484,,134
PV4,1987,13,1294127546,1053728193,67762,16,1,2358,50,32,718,1294127546,77
MOd,1991,8,696981,1667317,8,3,22,2575,56,20,-2412,,96
M3d,1988,6,1589057799,570948623,14427,47,7,2386,40,225,2470,1589057799,80
Pnukiv LLC,2001,1,423432,753097,12,4,25,2520,40,2,119,,149
FalKc,1983,6,27160174,17186460,740,3,5,1984,50,58,-2403,27160174,57
Vajimc,1986,12,182819977,238885622,4171,21,24,2193,60,3,56,,69
CscOWHx,1999,3,15029323,21072948,265,6,3,1117,50,11,-516,,59
Ylc Corp,1989,3,42936,41333,1,1,1,2674,40,2,748,42936,93
Vmerjqra8ez,1980,3,2177122,3251640,72,9,1,2162,40,2,-2805,,57
Hgvs Corp,1997,10,62138519,61296329,2068,28,1,2838,40,3,-2163,62138519,136
A9eJ,1990,8,2450966,3885233,207,9,4,2875,70,35,636,,103
Tdni,2003,3,235043,155521,4,2,7,3116,61,3,-286,235043,208
I7rfh,1985,8,5449210,9552607,334,8,1,2701,20,11,845,,82
Gdf Corp,1994,3,35389,31732,1,1,1,2467,40,18,595,35389,103
Zqb,1991,3,343949,553763,4,2,10,1918,50,4651,-6044,,72
X2f23alKb Corp,1991,6,34910950,20556626,990,19,1,3229,40,68,778,34910950,120
Olykofs,1989,1,8822697,5747538,255,16,1,2319,40,14,37,8822697,80
Bkpk,1986,6,16706759,19137954,393,20,1,2637,50,20,333,,83
Ykv,1997,3,16198981,25487674,2038,12,27,3167,40,1,-1455,,151
RwH,1990,3,2695246,3409152,100,10,1,2880,70,2,-9,,103
Oee Inc,1998,4,6227867,7765393,82,6,4,2072,50,4,2610,,104
Gix Corp,1995,2,26142131,36278316,236,16,3,3088,70,3,630,,135
Vkkede Inc,1977,3,1573526,3462913,301,17,5,2588,60,10,570,,64
Dtsqee5 Corp,1992,3,7140550,7902745,759,13,1,2496,40,1,93,,96
Eto,1987,6,337677,223563,2,2,57,2399,70,32,897,337677,78
Ae1,1987,2,2417839,1661656,86,10,1,2527,70,6,-98,2417839,82
AuqxP,1999,3,1346947,1778727,22,5,39,2649,58,1,501,,140
GOs Corp,1989,8,2558206,1630709,20,5,2,2359,66,23,970,2558206,82
R0r,1986,3,132321981,126195186,734,23,5,2920,40,13,80,132321981,92
Vh8ab8h3e5,1992,4,2971571,3539903,74,8,98,3092,60,19,-2051,,119
SEm3cVq58uup5ccBO,1985,3,54704838,76470244,1688,33,281,3029,60,86,-2808,,92
ZyNXnax Corp,1987,1,2320404,2800804,59,8,1,2794,60,121,1877,,91
Pbh,2001,10,35485,20658,1,1,38,3052,50,5,253,35485,180
VeuaebVbr8E,1984,1,41886038,60580506,751,28,2,2640,20,3,2068,,78
Svx9,1993,10,10836782,23768215,253,2,5,2439,60,7,-970,,98
Ovf Corp,1994,13,76465898,53810872,2022,31,1380,2940,60,42,-141,76465898,123
WFm,2001,13,1118458,985066,48,3,2,1916,50,4,1058,1118458,113
Gd3a,1984,13,2851261,2922295,226,5,4,2415,60,1289,942,,72
Lzdx,1991,6,436961,315288,8,3,7,2165,70,804,942,436961,81
Cmf,1983,8,8465,12827,1,1,1,2877,70,12,644,,83
DrnErl Inc,1978,3,327535377,165548350,1360,7,2,2470,60,7,-22,327535377,62
Q2kb,1975,13,66441,84185,1,1,17,2465,40,13,-1331,,58
Jaeofgvi1w9,2005,8,930295,735385,33,6,3,3087,84,11,1768,930295,238
Jcg Corp,1985,2,25522,39143,2,2,1,3326,40,19,433,,101
Jj3,1985,8,3960762951,3221359274,53697,18,1,3241,40,4,111,3960762951,99
Vmu,1997,12,1988597,1339743,12,4,15,2330,60,17,-3028,1988597,111
Wdn9B,2000,13,6336386081,5878574412,97788,2,6,2142,70,9,-241,6336386081,119
Hozwr Corp,1991,9,2367052,3321843,34,6,1,2685,40,5,-357,,100
L6k LLC,1987,13,865920,692574,22,5,1,3272,40,8,2377,865920,106
EAekrg,1976,3,3199995030,3239364019,67620,55,51,2523,60,6,-4198,,61
FtxaeknbD,1995,3,294200797,424656667,4956,7,2,2013,60,82,1653,,88
Nmmxxd1,1984,2,1238150,607107,20,5,94,2039,60,20,116,1238150,60
SHk,2003,6,19708,44309,2,2,1,2241,40,41,-1282,,150
Xn1fuz Corp,2000,11,6966,9185,1,1,25,2643,40,96,656,,147
EuC,1981,3,14072842,17759321,263,17,8,2159,60,2,1874,,59
O1otef,1976,3,150954,191070,4,2,14213,2555,60,2,3112,,61
Lusz,1999,3,278447,317569,5,2,1,2531,40,130,958,,134
Bfq Inc,1984,5,56184212,67772479,3402,5,3,2858,40,23,778,,85
CQs Inc,1983,3,1299736813,822624490,3794,10,20,2896,40,15,-3721,1299736813,83
Ajg,1996,8,5855318,8062006,459,19,1,2776,40,29,-315,,127
X6oP5i,1967,11,5675223,2900455,17,5,1,2943,60,14,-2441,5675223,58
Xzkkd,1997,3,54055,62343,1,1,98,2391,40,5,197,,114
QNz Corp,1991,1,559222,447335,18,2,16,2971,70,2,-55,559222,111
O8f,1985,8,7988914,8456456,385,5,203,2719,60,2,-210,,83
Uvl Inc,1988,6,110705,96854,1,1,1,2379,40,18,-2164,110705,80
WwWndVm1yt,1986,4,9094923,10809778,174,14,1,2343,60,74,-684,,74
Xsek,1986,1,96034748,117662294,7312,3,1,2862,66,28,549,,90
Jff2,1985,12,2186237,1454188,64,8,4,3063,60,6,-2599,2186237,93
Xpu,2000,4,126705883,75354243,2338,7,8,2722,60,31,-726,126705883,152
Wx4,2002,3,1057961026,1687094959,13417,1,1,2494,60,1,-388,,156
Mqj,1995,6,138817298,90022625,1773,24,3,2496,40,91,-1656,138817298,109
Kml,1982,3,287833,286890,4,2,21,2966,55,6,-2344,287833,83
JS7,1990,3,84500716,37614832,1962,9,6,2855,60,167,-420,84500716,102
Fs04bmyjln,1992,6,7707309,9761796,384,16,13,2647,60,11,-172,,102
Z5g6 Corp,1990,2,333496,329716,23,5,1,2211,50,130,0,333496,79
Eiz,1974,1,358792,510786,26,6,1,2698,60,12,-31,,62
Z5dvoqvu,1988,11,993020,826461,46,1,1,2398,60,84,-1844,993020,80
Hilc,2000,9,357205,717039,6,3,1,2153,56,32,3655,,120
XupRaKq Inc,1990,6,365331,385447,20,5,6,2641,40,2,-518,,95
Bia,1984,3,510295,1035119,21,5,1,2776,60,49,1170,,82
KnvVkz Corp,1995,3,5206,2094,1,1,50,2485,65,8,3676,5206,109
Uik,1991,6,8471556,8389170,558,16,4,2599,60,13,-658,8471556,97
Fcja,1991,13,56125130,76043496,4458,4,8,3108,40,18,1367,,116
Dwj,1992,6,293472679,291281790,15356,4,2,2591,40,238,245,293472679,100
Eh6dj,1986,4,108772309,70649304,985,1,19,2474,40,24,-579,108772309,78
Kjr,1989,6,10885,10077,1,1,1,2580,40,6,2812,10885,89
UIs,1992,8,25366697,23967253,1768,24,1,2731,60,8,226,25366697,106
Stc,1988,11,8343896,10832182,169,7,6,3609,60,25,1172,,121
Tht,1988,10,716875308,264996504,2837,2,1,2037,71,2,1862,716875308,68
Kb5fqxyp LLC,1987,11,31918707,25236095,573,20,2,3164,70,1,-1159,31918707,103
Hdvtp,1992,11,2931150,2119896,110,11,2,2925,60,25,1411,2931150,113
JnxE5,1979,8,122657,79177,1,1,8,2954,60,16,-1073,122657,76
Hnow,1986,8,80878,97057,1,1,49,2840,60,10,324,,89
Ez1 LLC,1995,6,5696829,10381866,232,16,1,3178,60,3,271,,139
Zpns,1985,3,1453023480,1201037838,32937,54,1,1875,60,3,540,1453023480,57
Mwxi,1994,8,26896,72111,2,2,4,2623,60,7,481,,110
Eznxik,1985,11,1233257,818332,10,4,252,2224,50,4,-1335,1233257,68
Ze6 Corp,1991,2,97776074,211720708,2569,51,33,2396,50,10,3840,,89
PdFv,1985,6,2483888,1466009,26,4,8,2231,60,9,225,2483888,68
Lfzx,1990,13,1020023598,1374754769,8713,4,58,2839,40,11,1054,,102
GvG Corp,1979,13,1442970,1824944,17,5,4,2983,70,105,-1744,,77
Ugx,1993,10,427069,441368,6,3,19,2082,60,336,262,,84
Mc4gab,1982,8,253999,265520,9,3,1,2716,60,9,-177,,76
Tzy Corp,1987,3,1167330,2103627,49,5,3,2519,40,10,-543,,82
Fqvgo LLC,1987,3,45023886,65073022,1137,11,1,3031,60,45,1767,,98
MjlqsDbe,1990,11,671545306,624931038,8345,22,1,3018,60,49,-832,671545306,108
EgtWa,1983,3,5308235,12087237,371,13,95,2243,60,1,1754,,65
ExXp,2000,4,83759,114055,3,2,1,3468,40,18,2323,,193
Y5er,2007,6,4945726,9997042,134,5,1,2750,60,1,323,,250
Prfm Corp,1985,11,86448435,158991683,4862,62,3,2694,68,40,931,,82
Hyqyphvf,1979,3,11084191,5885751,106,11,1,2636,35,1,-560,11084191,68
Ztd,1972,2,151229,129530,6,1,8,2353,50,11,-1551,151229,52
Gl0z,1992,6,15294386,16943891,183,7,2,2535,40,9,548,,98
Ojzqy,1986,10,286965,137177,10,4,27,3021,42,15,-321,286965,95
Umdi Inc,1982,1,98915,94002,3,2,10,2050,55,116,274,98915,57
S00uM,1988,3,177304030,197718832,3440,59,2,2612,60,116,1637,,88
VD59 Inc,1993,13,1742844,2883065,55,7,1,3283,60,4,538,,132
JdyDfwt0,2000,8,22941,34789,1,1,2,2571,60,215,-1549,,143
GKxr,1997,8,60947642,99021372,1230,4,3,2486,60,26,252,,119
FzD,1994,9,2765317,3998344,143,12,2,3666,40,2,-1488,,153
Sew,1998,11,33839418,33758597,214,2,6,2612,40,8,1238,33839418,131
OqZbu Corp,1975,12,160094756,134724081,11543,26,3,2387,70,44,-603,160094756,56
KtA,1992,3,26371262,44753074,524,2,7,2065,68,1,4275,,80
NMtik,1988,12,645484,766851,19,5,4,2717,60,6,-295,,91
Qni Corp,1987,1,6398,5747,1,1,1,2378,60,4,2600,6398,77
VyWIcB,1982,2,12562684,13993270,148,13,4,2361,40,12,410,,66
BzG3r,1981,7,27162,21668,1,1,21,2728,60,1,-1865,27162,74
DoNU,1991,3,3539599,4724703,93,7,98,2187,60,37,1674,,81
Nizbg,2008,4,11953876,12981828,482,9,1,2303,40,4,-6369,,231
Bqh8k Inc,1978,3,199607,483712,8,3,6,2448,40,248,-203,,62
Hfhcux6pl6,1997,6,21949034,10276769,563,24,150,2580,60,7,-2208,21949034,123
Np0fmdaLupmc4w,1988,8,1394370,1514774,16,4,22,2441,60,9,-1680,,82
H62g1 Corp,1988,12,1448141,1537989,153,13,1,2222,40,50,1649,,75
KjeJr Inc,1982,12,4128844,5700563,69,9,3,3014,40,9,-261,,84
MbX,1984,3,65529660,27548406,314,18,3,2528,60,11,1378,65529660,75
Lq9,1989,2,8528357,13252969,143,10,1,2691,60,6,-186,,93
Bfm2l,1993,8,60414225,62342632,1798,43,2,2869,60,19,3128,,115
Syc Inc,1993,6,354305,437396,4,2,2,2468,60,26,-1447,,99
B9tkk4cf,1978,6,24190973,31540195,652,26,2,2406,70,4,140,,61
Thx1hz,1991,13,2732922,923766,9,3,2,1875,60,4,871,2732922,70
FyB,1990,3,970036,1672981,9,3,1,1934,60,10,1016,,70
Fwv5hwlxJG,1988,3,42178256,33886444,1756,1,21,2276,40,213,518,42178256,76
T7id,1990,3,4329528,5453601,242,16,3,2634,56,21,-1312,,95
Bet,1995,6,16726441,14341515,204,7,1,3111,68,3,247,16726441,136
FNt,1986,6,46385,45632,3,2,1,2581,70,3,-79,46385,81
Xoq Corp,1992,1,177888,191031,6,3,1,1999,20,47,125,,77
C7skhafwyeEskJ Corp,1989,11,490463,433345,19,5,2,2602,40,306,752,490463,90
Ryb Corp,1990,3,37315931,66825602,1213,35,4,2441,80,1,1079,,88
ZtT LLC,2000,11,153967,44371,1,1,2,2747,60,6,749,153967,153
Bdk,1991,3,10901096,15206910,119,11,353,2414,40,1,207,,90
Etf,1994,12,2039090,1737017,62,8,12,2983,40,44,361,2039090,125
OMh,1994,7,70715719,99663608,4719,25,3,2897,40,102,-3742,,121
Xyvj Inc,1976,11,119167,53679,2,2,1,2808,50,11,-347,119167,67
YVq,1982,3,807265,540614,19,5,1,2916,55,66,1188,807265,81
Wpg6,1989,6,6629552,9148863,129,5,226,2928,40,1,-287,,101
Yiscxozgu2tq,1990,6,91988669,95878963,3167,36,9,2492,60,10,-2643,,89
XHzt7y,1990,11,70994981,59891156,773,4,3,2800,54,191,2005,70994981,100
Csewlu Corp,2001,13,27793,26227,3,2,5,1875,60,360,-673,27793,111
Mv7 Corp,1990,13,10313071,11764054,167,13,1,2355,60,2,-630,,85
Kid Inc,1996,2,31536364,46021253,426,13,2,2412,50,2,-577,,110
PB16q,1992,3,8439893819,9108356415,126371,15,2,2660,60,97,-943,,103
WraJw Corp,1990,12,45445011,40945682,1671,11,16,2908,60,632,988,45445011,104
OMa5,1985,6,4967902,3578494,157,13,1,2768,60,9,391,4967902,84
Hdeyzpal Corp,1993,3,10797826,23401932,558,19,17,2297,60,4,-1240,,92
P17 Inc,1988,1,186553,342526,6,3,2,2365,60,40,1710,,79
Hxck Corp,1986,10,9948329,8407656,530,5,19,2369,60,11,-649,9948329,75
CkzD,1991,6,8586531,9237279,149,9,2,2258,50,4,-365,,84
JXqxiz LLC,1976,2,2561909,1975012,12,4,3,2856,60,43,-3970,2561909,68
Wqvj Corp,1991,11,10603145,6219623,88,10,2,2236,60,8,5059,10603145,83
ELn,1980,6,62599,59763,2,2,3,2762,60,653,-160,62599,73
OvE,1982,3,7182159,6715689,244,16,8,2598,50,49,688,7182159,73
Jdqviw,1993,8,1202179,847008,48,7,4,3261,40,1,1156,1202179,131
Uqp Inc,1989,2,1311502,485526,9,3,37,2211,60,24,1280,1311502,77
Hpdrivzqs,1983,6,8060614,8785480,192,5,3,2611,60,1,805,,75
Ozg Inc,1987,13,5030470,6431447,89,10,7,3020,50,5,-324,,98
SuC,1984,3,19058325,23079997,950,10,1,2612,70,7,182,,77
VzE Corp,2001,6,1268173,1481532,12,4,1,2995,40,26,1140,,177
FNz,1998,10,12389432,14255490,262,17,1,2162,60,5,-92,,109
Bif8 Corp,1991,3,169671,67172,6,3,13,2931,60,9,1570,169671,109
KTzn LLC,1997,6,316330090,460559675,8229,12,12,2504,60,126,1824,,120
Ejc9,1986,11,7895553389,6918486129,31239,29,1,2821,20,469,916,7895553389,89
Zqbf,2000,3,987317,1031638,4,2,2,1940,30,2,-900,,108
Jvvmkuufu,1994,2,412236,386647,31,6,1,3027,45,3,1061,412236,127
DckiPnbwb,1978,3,192004302,309124447,4106,16,7,2942,40,6,-750,,74
C7mn,1991,6,33774859,83578766,2175,19,6,3069,45,5,3140,,114
RxU9elvd,1990,3,21575162,20618957,412,12,1339,2780,50,159,774,21575162,100
NNw,1988,11,1583382,1077915,26,6,1,2724,60,1,12,1583382,91
JfxeziomxP Corp,1986,11,3099498,2059774,143,9,27,2692,65,4,-1308,3099498,85
Sif Inc,1985,3,14677842,12854745,247,4,2,2325,75,56,-392,14677842,71
Hodv,1981,3,903969227,764802650,33109,6,4,2747,40,6,-40,903969227,75
Ssn,1990,3,680694,443021,10,4,2,2354,65,31,323,680694,85
Ycxg,1990,1,7646233,6560338,269,1,1,2638,50,8,-3060,7646233,95
Md4xad Corp,1996,13,843961,1979649,41,7,1,1903,55,18,1303,,87
Urm Corp,1992,6,3746810,2406564,176,14,1,2382,40,3,-405,3746810,92
Ody,1986,10,125924775,111397384,4230,39,4,2875,60,2,2360,125924775,90
Ne1T,1990,6,593037,392164,4,2,1,2992,70,714,-1395,593037,107
Sb2 Corp,1991,3,234603245,81483238,470,22,4,2355,60,68,400,234603245,88
Y4lovq,1988,1,61581,29284,3,2,1,2543,40,8,584,61581,85
Zkz,1986,3,2192629,1378482,23,4,3,2702,60,7,-469,2192629,85
Guv,1998,3,476972,375404,6,3,1,3400,40,19,79,476972,170
Vlf74pjj Inc,1997,3,21848,13451,1,1,1,2391,70,1,-2102,21848,114
JvpZ,1981,13,8464862,7613260,184,13,2,2700,60,1,910,8464862,73
QztH,1978,6,15017018,9801678,122,12,1,2153,60,42,178,15017018,54
Sn0zyefx,2000,3,246036,360227,26,6,2,3109,40,4,1785,,173
R8ua Inc,1984,1,26494013,25083276,874,6,1,1815,60,1,1406,26494013,54
Rih,1988,13,170831549,188609854,1539,13,198,2749,40,8,683,,92
Tm3bxe,1980,3,2327261,2123844,64,8,2,1766,70,2,0,2327261,47
Nzok,1983,11,22381554,15038251,216,7,1,2486,60,4,-755,22381554,72
Qwp4,2000,8,18701775,23746857,629,5,1,2379,60,5,-785,,133
SlmuvupxqS,1975,1,1397686,1506393,10,4,4,2661,40,644,7766,,62
Hos LLC,1994,3,2307368763,1463226509,23346,11,3,3538,40,55,-419,2307368763,148
Av4aup,1984,10,36071,18628,1,1,1,2095,50,16,-1226,36071,62
GhMgdu Inc,2000,11,9173559,10631908,698,20,4,3304,56,20,-1138,,184
Kcg,2004,8,657053,431712,9,3,2,3059,60,2,700,657053,219
B8rpidrpxaQiGpdldeM,1998,6,111067328,157205000,936,31,5,2600,55,2,476,,130
UuCyY Inc,1976,11,99254,73031,2,2,7,3002,70,8,803,99254,72
Wq5spzebv Corp,1980,10,133446194,193042874,8401,4,1,1880,54,27,1259,,50
Woyx Inc,2006,3,19855993,23609984,443,11,1,2484,70,26,-1671,,207
Sme Corp,1992,3,170641,160995,3,2,1,2662,40,18,361,170641,103
QcCht,1991,6,4306230,1372868,39,7,13,2455,80,3,2333,4306230,91
Fzpr,1990,3,718,663,1,1,1,2379,80,3,143,718,85
TUd Corp,2000,11,10692,9686,1,1,1,2977,40,21,434,10692,166
Ku1,1994,8,89749,62955,1,1,6,2844,60,56,688,89749,119
Dvu Corp,1987,3,13063,23032,2,2,1,1839,60,5,-140,,60
Xv89,1996,3,221987,149468,4,2,2,2309,60,3,-605,221987,105
Nvtgv,1993,4,7805028,5834229,143,1,2,2320,45,41,-2706,7805028,93
XsNo2,1996,8,162409,103502,2,2,1,2315,70,15,-8973,162409,106
FLyhpjxaijk,1999,8,861932365,1111276551,108458,91,337,2696,52,3,-287,,142
Ibpixx,1988,6,3579,4193,1,1,1,2510,40,165,547,,84
Adnw Corp,1991,3,1487088,1492442,16,3,1479,2691,66,614,1151,,100
Nvaj,1979,8,1008279,379777,13,4,1,3044,50,3,1226,1008279,79
Rqh,1982,3,2563557,4202066,27,6,1,2117,40,12,5359,,59
Xotuh6x,2001,3,92027087,101804640,1325,14,1,2339,60,2,-1124,,138
Movrbi,1987,10,670184,1761395,22,5,1,2744,56,28,-1603,,89
Tvc,1987,4,1337262,1160200,69,6,3,2230,40,1,466,1337262,72
SngmfCa Inc,1981,3,2728396,2448615,79,9,1,2579,60,325,-727,2728396,70
Lkq Corp,1998,1,210935867,86587163,1172,6,1,2309,50,1,-5676,210935867,116
FZbrfj,2000,11,90534,133772,2,2,149,1935,60,20,431,,108
Foo,1978,3,1433542,1535208,17,5,26,2963,55,53,235,,75
Xyr,1992,6,458567,973113,50,2,1,1950,40,8,833,,75
Pzlo LLC,1989,2,67249,51004,1,1,5,2332,70,1,659,67249,81
Onar,1983,3,906065,1003407,19,5,89,2958,60,50,-1243,,85
Yxgc,1996,8,45377872,30571799,353,19,3,2690,40,9,395,45377872,123
Ekgvi,1984,11,20817715,32456427,270,9,1,2971,40,3,-359,,88
MecRm,1989,11,45954,44022,2,2,1,2396,50,7,421,45954,83
WitjWzp,1992,3,665021,2522274,171,14,68,3265,76,13,-1279,,126
K4bivd,2003,8,152070,151380,10,4,1,3223,60,10,73,152070,215
Qfgji,2005,3,2206384,2328849,36,6,8,2488,55,27,-645,,192
Cqb,2000,6,11838748,9620249,480,22,108,2238,40,3,116,11838748,125
Cmo Corp,1982,1,5597436,4230042,397,8,1,2683,40,104,-15,5597436,75
QKpc,1980,2,18344262,46109762,586,13,6,2103,70,13,1205,,56
MgA Inc,1987,6,4540837,8071812,256,16,6,2993,50,10,1000,,97
Nai LLC,1985,13,352796,248524,4,2,10,2567,60,9,653,352796,78
Jty Inc,1988,11,25450838,14357897,240,16,9,2300,50,57,-1525,25450838,77
Ynnumq Inc,1997,13,66997425,44815314,3957,1,3,2615,40,1,330,66997425,125
DsxcHpp Inc,1992,2,3324497,4064915,103,11,5,2545,70,32,0,,98
Soc,1977,3,79258382,44309473,571,1,1,2166,60,41,-1345,79258382,53
Jeg,1988,3,4087841,1859682,14,4,4,2743,60,10,-571,4087841,92
Xri,1987,10,15551352,11508945,269,17,3,2617,50,1,2075,15551352,85
Lq3Te,1994,3,10700707,17128303,300,18,3,3095,40,274,264,,129
Wzu Corp,1989,8,1987912,4168584,111,11,1,2955,60,16,-1743,,102
Sslx Corp,1990,10,309184822,212481969,1521,5,1,2352,50,2,164,309184822,84
Wym Corp,1991,6,835986,1178755,7,3,3,2802,66,49,764,,104
Zftlp,1977,13,11654068,12317126,705,13,13,1963,40,19,2154,,48
Jzb,1995,12,1588204,2131544,39,7,201,2692,60,40,-859,,118
Arevm,1982,10,18652866,13613503,79,9,3,2889,60,6,1890,18652866,81
Csic Corp,1992,4,8141519,6824089,59,8,1,2645,58,10,-1671,8141519,102
Se4i,1994,2,29747683,35073726,284,17,5,2978,40,5,1097,,125
Xivdpxkdjt Corp,1982,2,97290958,179053795,4825,29,17,2651,60,16,382,,74
Bgv,1985,3,45264,77384,2,2,1,2344,40,18,423,,72
JlcC,2004,6,152850122,223898486,5722,5,1,1970,40,14,-545,,141
Dnm Corp,1996,4,66914510,68685130,710,4,1,3033,40,300,1110,,138
Vdgz,1990,3,1185849,1285243,12,4,2,2645,60,132,-1932,,95
Icft Inc,1998,10,410606,865091,34,6,4,2664,60,5,348,,134
Jse,1998,3,1577832,1415686,87,10,1,2358,70,159,50,1577832,118
Zxu,1997,2,90774752,207108787,1637,7,31,2573,40,22,-489,,123
Wdc LLC,1995,3,15533457,13503491,344,2,1,2663,50,2,1077,15533457,116
Rqajdgyr,1994,13,1330339,758075,48,7,3,3811,40,2,2829,1330339,159
Flthjs,1992,4,44830,33360,1,1,4,2531,50,7,-19,44830,98
O7j,1998,4,217699252,416386466,19248,10,7,2822,58,4,-1947,,142
ZdV,1983,6,7603705,5268743,138,12,2338,2372,40,91,-60,7603705,68
Qnm Inc,1995,6,116437569,54575780,723,24,4730,2971,50,1,1285,116437569,130
Pnu,1981,6,19441,11517,1,1,1,2328,40,6,186,19441,63
Mnm,1996,3,43340939,56959307,562,8,1,1891,40,5412,-198,,86
Rzo,1995,2,5513607,5336849,119,7,2,2696,40,16,2035,5513607,118
AiRj0b,1985,6,1366003,1834652,34,6,2,2709,20,910,-516,,83
JI3,1991,1,6122360,3174015,35,6,1,1938,60,3,-1424,6122360,72
Wuy,1991,10,24353349,19863316,329,14,1,2827,40,176,2709,24353349,105
Fyfie,1992,8,135019,88195,3,2,3,2820,70,61,-4,135019,109
Cnjf,1985,11,189249192,158966343,13641,7,1,2977,60,39,630,189249192,91
MkL,1999,3,19145633,25534191,2199,7,13,2482,40,1,-2578,,131
Zy7N Inc,1991,3,31640741,46653087,993,32,54,2726,40,3,5,,101
Twz8,2000,6,6668454,3809772,233,2,2,2073,60,1,-1112,6668454,116
Vav,2000,8,777674,986151,40,2,12,3172,40,3,706,,177
PMm,1987,8,237109,187960,9,3,48,1947,60,11,1298,237109,63
Gsg,1995,6,52966428,19799883,404,21,4,1749,60,13,38,52966428,77
CoYiv2bIi,1992,10,245723,180297,5,3,1,2523,50,15,-712,245723,98
Ghwl0i,1985,11,66415,52171,1,1,1,2525,40,87,1773,66415,77
Efl,1998,4,194737,130143,4,2,2,2558,70,130,168,194737,128
Agc,2000,13,1351412,1240708,28,6,13,2645,55,7,15,1351412,147
HzbY,1985,2,86844,143418,3,1,29,2550,60,122,1315,,78
Zib,1994,6,98141887,72773479,3678,37,2,2200,60,22,2542,98141887,92
Ewc,2005,2,14110402,13486144,503,9,1,2880,80,7,-418,14110402,222
Nxp,1983,3,151052,167479,11,4,1,3093,53,7,149,,89
Art,1984,6,16727640,17532167,1186,21,3,2283,40,5,-2821,,68
RSr,1983,10,686971,949578,93,10,1,3417,60,33,-319,,98
EaW,1987,6,14367660,16087140,177,3,7,2480,55,10,313,,80
Grw,2000,10,56468686,93958060,7832,31,33,2165,40,5,1241,,121
Ool5qn Inc,1995,3,368551,141417,5,3,1,2438,60,9,-157,368551,106
Gr7ti,1991,10,8241396,5096866,231,14,303,2973,60,1,-1437,8241396,111
Hity Corp,1988,6,807298,680436,9,3,1,2588,60,260,5597,807298,87
DkB,1992,2,183194,223337,11,4,100,3197,40,16,61,,123
Fbd,1982,11,7914549,13491164,226,16,1,1978,60,10,-723,,55
DHc Inc,1989,6,7656603,7326637,654,3,2,2649,60,14,28,7656603,92
GdiL Corp,1995,4,10615,7189,1,1,2,2083,66,246,-143,10615,91
Euiu,1988,10,10532996,6927958,215,15,26,2459,70,3,1499,10532996,82
Snh Corp,1991,6,423593,683418,63,8,1,3223,60,153,306,,120
C5n7,1992,3,130453,125810,3,2,4,2646,60,9,1591,130453,102
Tvu Corp,1984,3,671868,557303,5,3,9,3137,55,1,1232,671868,93
Dsig,1990,11,5748386,3715914,127,12,2,3175,60,156,746,5748386,114
Wd4jyl1qy00K,1996,3,157923574,87222842,1103,23,45,2638,60,140,681,157923574,120
Xpb,1989,3,3813,4923,1,1,22,2420,56,11,368,,84
Tdp,1987,12,137643059,260624699,7947,15,2,2739,70,4,-1212,,89
EDv,1991,12,18114710,11910158,67,9,1,1835,75,39,-53,18114710,68
Vrx,1990,12,11301978,7405868,269,13,283,2905,80,11,-633,11301978,104
Nugi,1977,1,363875,349318,16,4,17,2175,40,6,499,363875,54
Xdh,1986,11,4565436,7510791,59,8,1,2575,60,18,1427,,81
SlqyHt Corp,1984,11,2527,2027,1,1,3,2597,50,348,423,2527,77
O639,1993,13,71639569,32612420,2251,3,5,2226,40,3,3657,71639569,90
RJplg6 Corp,1990,3,33017,31657,3,2,22,3241,60,9,784,33017,116
D28bv,2005,5,8189712,7036873,83,10,5,2127,50,5,195,8189712,164
Sce,1978,10,1243463,831767,16,4,1,2616,40,4,1871,1243463,66
Uogbd Corp,1986,6,497098,591392,18,5,2,2465,60,155,-67,,78
FhTwcdt,1988,11,78540,41622,3,2,5,3052,60,10,934,78540,102
Gg4qfAaw Corp,1988,2,670994,172581,3,2,12,2718,60,78,1163,670994,91
Ry9,1998,3,3251850,1511581,29,6,2320,2157,40,5,-7780,3251850,108
TfTgdC,2001,6,65488582,60986355,940,31,1,2989,60,2,173,65488582,176
Ropt9 Inc,1978,3,39005182,18776613,655,26,2,2669,80,8,-3552,39005182,67
ZhedqsO3j,2001,6,7024965,12693834,560,7,23,2466,60,16,-1296,,146
